,lon,lat,month,observation
541,1.5,88.5,1,-1.7
542,2.5,88.5,1,-1.7
543,3.5,88.5,1,-1.702
544,4.5,88.5,1,-1.705
545,5.5,88.5,1,-1.705
546,6.5,88.5,1,-1.7070001
547,7.5,88.5,1,-1.7070001
548,8.5,88.5,1,-1.7070001
549,9.5,88.5,1,-1.71
550,10.5,88.5,1,-1.71
551,11.5,88.5,1,-1.71
552,12.5,88.5,1,-1.715
553,13.5,88.5,1,-1.7170001
554,14.5,88.5,1,-1.7220001
555,15.5,88.5,1,-1.7220001
556,16.5,88.5,1,-1.7170001
557,17.5,88.5,1,-1.7170001
558,18.5,88.5,1,-1.7120001
559,19.5,88.5,1,-1.7120001
560,20.5,88.5,1,-1.7070001
561,21.5,88.5,1,-1.71
562,22.5,88.5,1,-1.7120001
563,23.5,88.5,1,-1.7120001
564,24.5,88.5,1,-1.72
565,25.5,88.5,1,-1.7220001
566,26.5,88.5,1,-1.7220001
567,27.5,88.5,1,-1.7220001
568,28.5,88.5,1,-1.725
569,29.5,88.5,1,-1.725
570,30.5,88.5,1,-1.7220001
571,31.5,88.5,1,-1.7220001
572,32.5,88.5,1,-1.7220001
573,33.5,88.5,1,-1.7220001
574,34.5,88.5,1,-1.72
575,35.5,88.5,1,-1.72
576,36.5,88.5,1,-1.72
577,37.5,88.5,1,-1.72
578,38.5,88.5,1,-1.72
579,39.5,88.5,1,-1.72
580,40.5,88.5,1,-1.7170001
581,41.5,88.5,1,-1.72
582,42.5,88.5,1,-1.715
583,43.5,88.5,1,-1.715
584,44.5,88.5,1,-1.7120001
585,45.5,88.5,1,-1.7070001
586,46.5,88.5,1,-1.7070001
587,47.5,88.5,1,-1.7070001
588,48.5,88.5,1,-1.7120001
589,49.5,88.5,1,-1.715
590,50.5,88.5,1,-1.715
591,51.5,88.5,1,-1.71
592,52.5,88.5,1,-1.7070001
593,53.5,88.5,1,-1.7070001
594,54.5,88.5,1,-1.7070001
595,55.5,88.5,1,-1.7070001
596,56.5,88.5,1,-1.702
597,57.5,88.5,1,-1.702
598,58.5,88.5,1,-1.702
599,59.5,88.5,1,-1.705
600,60.5,88.5,1,-1.7
601,61.5,88.5,1,-1.7
602,62.5,88.5,1,-1.7
603,63.5,88.5,1,-1.7
604,64.5,88.5,1,-1.7070001
605,65.5,88.5,1,-1.7
606,66.5,88.5,1,-1.702
607,67.5,88.5,1,-1.7
608,68.5,88.5,1,-1.697
609,69.5,88.5,1,-1.697
610,70.5,88.5,1,-1.697
611,71.5,88.5,1,-1.697
612,72.5,88.5,1,-1.697
613,73.5,88.5,1,-1.695
614,74.5,88.5,1,-1.695
615,75.5,88.5,1,-1.692
616,76.5,88.5,1,-1.687
617,77.5,88.5,1,-1.687
618,78.5,88.5,1,-1.687
619,79.5,88.5,1,-1.6850001
620,80.5,88.5,1,-1.6850001
621,81.5,88.5,1,-1.6850001
622,82.5,88.5,1,-1.6850001
623,83.5,88.5,1,-1.6850001
624,84.5,88.5,1,-1.6850001
625,85.5,88.5,1,-1.6850001
626,86.5,88.5,1,-1.6850001
627,87.5,88.5,1,-1.6850001
628,88.5,88.5,1,-1.6850001
629,89.5,88.5,1,-1.687
630,90.5,88.5,1,-1.6850001
631,91.5,88.5,1,-1.687
632,92.5,88.5,1,-1.6850001
633,93.5,88.5,1,-1.6850001
634,94.5,88.5,1,-1.6850001
635,95.5,88.5,1,-1.6800001
636,96.5,88.5,1,-1.6800001
637,97.5,88.5,1,-1.6800001
638,98.5,88.5,1,-1.6850001
639,99.5,88.5,1,-1.6850001
640,100.5,88.5,1,-1.6850001
641,101.5,88.5,1,-1.6850001
642,102.5,88.5,1,-1.687
643,103.5,88.5,1,-1.687
644,104.5,88.5,1,-1.687
645,105.5,88.5,1,-1.687
646,106.5,88.5,1,-1.687
647,107.5,88.5,1,-1.6850001
648,108.5,88.5,1,-1.6850001
649,109.5,88.5,1,-1.6850001
650,110.5,88.5,1,-1.677
651,111.5,88.5,1,-1.677
652,112.5,88.5,1,-1.6750001
653,113.5,88.5,1,-1.6750001
654,114.5,88.5,1,-1.6750001
655,115.5,88.5,1,-1.6750001
656,116.5,88.5,1,-1.667
657,117.5,88.5,1,-1.667
658,118.5,88.5,1,-1.6650001
659,119.5,88.5,1,-1.6620001
660,120.5,88.5,1,-1.6620001
661,121.5,88.5,1,-1.6620001
662,122.5,88.5,1,-1.6620001
663,123.5,88.5,1,-1.6650001
664,124.5,88.5,1,-1.6600001
665,125.5,88.5,1,-1.667
666,126.5,88.5,1,-1.695
667,127.5,88.5,1,-1.7370001
668,128.5,88.5,1,-1.7620001
669,129.5,88.5,1,-1.7670001
670,130.5,88.5,1,-1.7570001
671,131.5,88.5,1,-1.7400001
672,132.5,88.5,1,-1.725
673,133.5,88.5,1,-1.7120001
674,134.5,88.5,1,-1.695
675,135.5,88.5,1,-1.6750001
676,136.5,88.5,1,-1.6620001
677,137.5,88.5,1,-1.6570001
678,138.5,88.5,1,-1.6570001
679,139.5,88.5,1,-1.6600001
680,140.5,88.5,1,-1.6600001
681,141.5,88.5,1,-1.6600001
682,142.5,88.5,1,-1.6600001
683,143.5,88.5,1,-1.6570001
684,144.5,88.5,1,-1.6600001
685,145.5,88.5,1,-1.6600001
686,146.5,88.5,1,-1.6600001
687,147.5,88.5,1,-1.6620001
688,148.5,88.5,1,-1.6600001
689,149.5,88.5,1,-1.6600001
690,150.5,88.5,1,-1.6620001
691,151.5,88.5,1,-1.6620001
692,152.5,88.5,1,-1.6620001
693,153.5,88.5,1,-1.6620001
694,154.5,88.5,1,-1.6620001
695,155.5,88.5,1,-1.667
696,156.5,88.5,1,-1.667
697,157.5,88.5,1,-1.667
698,158.5,88.5,1,-1.667
699,159.5,88.5,1,-1.667
700,160.5,88.5,1,-1.667
701,161.5,88.5,1,-1.6700001
702,162.5,88.5,1,-1.6700001
703,163.5,88.5,1,-1.6700001
704,164.5,88.5,1,-1.6700001
705,165.5,88.5,1,-1.6700001
706,166.5,88.5,1,-1.6700001
707,167.5,88.5,1,-1.6700001
708,168.5,88.5,1,-1.6750001
709,169.5,88.5,1,-1.6750001
710,170.5,88.5,1,-1.6750001
711,171.5,88.5,1,-1.672
712,172.5,88.5,1,-1.672
713,173.5,88.5,1,-1.672
714,174.5,88.5,1,-1.6750001
715,175.5,88.5,1,-1.6750001
716,176.5,88.5,1,-1.672
717,177.5,88.5,1,-1.672
718,178.5,88.5,1,-1.6700001
719,179.5,88.5,1,-1.6700001
720,-179.5,87.5,1,-1.687
721,-178.5,87.5,1,-1.687
722,-177.5,87.5,1,-1.687
723,-176.5,87.5,1,-1.695
724,-175.5,87.5,1,-1.695
725,-174.5,87.5,1,-1.695
726,-173.5,87.5,1,-1.695
727,-172.5,87.5,1,-1.692
728,-171.5,87.5,1,-1.692
729,-170.5,87.5,1,-1.687
730,-169.5,87.5,1,-1.687
731,-168.5,87.5,1,-1.6850001
732,-167.5,87.5,1,-1.682
733,-166.5,87.5,1,-1.682
734,-165.5,87.5,1,-1.6800001
735,-164.5,87.5,1,-1.677
736,-163.5,87.5,1,-1.6750001
737,-162.5,87.5,1,-1.6750001
738,-161.5,87.5,1,-1.6750001
739,-160.5,87.5,1,-1.6750001
740,-159.5,87.5,1,-1.6700001
741,-158.5,87.5,1,-1.6700001
742,-157.5,87.5,1,-1.672
743,-156.5,87.5,1,-1.672
744,-155.5,87.5,1,-1.6700001
745,-154.5,87.5,1,-1.6700001
746,-153.5,87.5,1,-1.672
747,-152.5,87.5,1,-1.6750001
748,-151.5,87.5,1,-1.672
749,-150.5,87.5,1,-1.667
750,-149.5,87.5,1,-1.667
751,-148.5,87.5,1,-1.6700001
752,-147.5,87.5,1,-1.6700001
753,-146.5,87.5,1,-1.667
754,-145.5,87.5,1,-1.6650001
755,-144.5,87.5,1,-1.6650001
